Negara,Provinsi,Lat,Lon,Tahun ,Jumlah Puskesmas ,Jumlah Rumah Sakit Khusus,Jumlah Rumah Sakit Umum,Persentase kemiskinan (sem.1 (maret)),Persentase kemiskinan (sem.2 (september)),Jumlah kemiskinan (sem.2 (september)),Jumlah Penduduk Yang Dicakup Asuransi Kesehatan Atau Sistem Kesehatan Masyarakat (Orang),Suhu Minimum ,Suhu Rata-rata,Suhu Maksimum,jumlah penduduk ,Jumlah Penduduk (ribu jiwa),Luas Wilayah,Kepadatan penduduk (jiwa/km2),Persentase Rumah Tangga menurut Provinsi dan Memiliki Akses terhadap Sanitasi Layak (Persen),Jumlah Curah Hujan (mm),Jumlah Hari Hujan (hari),Annual Parasite Incidence (API),"Status Endemisitas (0=Eliminasi, 1=Rendah, 2=Sedang, 3=Tinggi)"
Indonesia,Bangka Belitung Islands,,,2014,290,11,42,14.28,14.21,1143.93,"4,137,915",23.53,25.79,34.48,"8,026,000","8,026","35,376",227,37.27,"1,683",178.00,0.55,1
Indonesia,Bengkulu,,,2014,61,2,14,5.36,4.97,67.23,"497,588",23.10,27.20,32.60,"1,344,000","1,344","16,424",82,75.67,"1,675",179.00,0.86,1
Indonesia,Lampung,,,2014,73,3,22,6.7,6.4,124.17,"924,114",19.00,27.10,33.60,"1,917,000","1,917","8,202",234,63.45,"3,064",174.00,0.41,1
Indonesia,Jakarta,,,2014,340,64,94,3.92,4.09,412.79,"7,934,374",25.00,28.40,32.60,"10,075,000","10,075",664,15173,87.05,"2,908",157.00,0,0
Indonesia,Banten,,,2014,1050,79,214,9.44,9.18,4238.96,"21,994,860",18.30,23.40,30.90,"46,030,000","46,030","35,378",1302,61,"2,388",226.00,0.01,1
Indonesia,West Java,,,2014,875,78,222,14.46,13.58,4561.82,"18,589,060",24.64,28.02,32.05,"33,523,000","33,523","32,801",1023,67.43,"2,628",187.00,0.05,1
Indonesia,Central Java,,,2014,121,21,50,15,14.55,532.59,"2,283,040",21.10,26.30,32.70,"3,637,000","3,637","3,133",1161,82.5,"2,026",160.00,0.02,1
Indonesia,Yogyakarta Special Region,,,2014,960,97,250,12.42,12.28,4748.42,"19,238,946",21.00,28.00,35.00,"38,610,000","38,610","47,803",808,63.7,"1,980",154.00,0.01,1
Indonesia,East Java,,,2014,231,26,59,5.35,5.51,649.19,"5,097,551",22.20,27.30,34.10,"11,705,000","11,705","9,663",1212,69.51,"1,521",176.00,0,0
Indonesia,Bali,,,2014,120,12,45,4.53,4.76,195.95,"1,643,450",22.80,27.40,32.90,"4,105,000","4,105","5,780",711,79.38,"1,641",160.00,0,0
Indonesia,West Nusa Tenggara,,,2014,158,1,23,17.25,17.05,816.62,"2,847,345",20.50,26.86,33.30,"4,774,000","4,774","18,572",258,59.41,"1,564",106.00,0.78,1
Indonesia,East Nusa Tenggara,,,2014,370,4,40,19.82,19.6,991.88,"3,336,175",20.00,27.40,33.50,"5,037,000","5,037","48,718",104,16.12,"1,416",103.00,12.81,3
Indonesia,West Kalimantan,,,2014,238,8,37,8.54,8.07,381.92,"2,042,122",22.30,26.80,33.30,"4,716,000","4,716","147,307",33,48.59,"2,755",217.00,0.17,1
Indonesia,Central Kalimantan,,,2014,195,1,18,6.03,6.07,148.82,"904,818",19.30,27.40,35.60,"2,440,000","2,440","153,565",16,30.85,"2,854",175.00,1.32,2
Indonesia,South Kalimantan,,,2014,228,9,27,4.68,4.81,189.5,"1,323,001",20.00,26.80,37.00,"3,923,000","3,923","38,744",102,48.44,"2,371",221.00,1.35,2
Indonesia,East Kalimantan,,,2014,174,11,33,6.42,6.31,252.68,"1,504,409",22.00,27.70,36.00,"3,970,000","3,970","129,067",31,72.65,"2,422",146.00,0.32,1
Indonesia,North Kalimantan,,,2014,48,1,6,12.00,11.97,849.44,"331,233",21.30,27.40,36.60,"7,629,606","7,630","75,468",102,56.29,"2,655",217.00,0.09,1
Indonesia,North Sulawesi,,,2014,187,4,38,8.75,8.26,197.56,"1,451,538",22.10,26.60,33.40,"2,387,000","2,387","13,892",172,69.82,"2,835",229.00,0.94,1
Indonesia,Gorontalo,,,2014,184,8,23,13.93,13.61,387.06,"1,560,557",22.80,26.70,34.20,"2,831,000","2,831","61,841",46,52.47,705,167.00,0.8,1
Indonesia,Central Sulawesi,,,2014,446,28,60,10.28,9.54,806.35,"4,301,539",19.50,27.20,35.60,"8,432,000","8,432","46,717",181,71.07,"2,739",190.00,0.1,1
Indonesia,West Sulawesi,,,2014,269,5,20,14.05,12.77,314.09,"1,337,032",20.70,26.80,33.10,"2,448,000","2,448","38,068",65,61.26,"2,264",172.00,0.46,1
Indonesia,South Sulawesi,,,2014,93,1,11,17.44,17.41,195.1,"1,033,549",21.20,26.70,40.30,"1,116,000","1,116","11,257",100,54.07,"1,404",152.00,0.84,1
Indonesia,Southeast Sulawesi,,,2014,94,0,10,12.27,12.05,154.69,"814,668",23.80,27.90,33.80,"1,258,000","1,258","16,787",75,52.45,"1,097",153.00,0.25,1
Indonesia,Maluku,,,2014,197,1,26,19.13,18.44,307.02,"1,013,942",23.00,26.60,32.60,"1,657,000","1,657","46,914",36,62.87,"2,593",229.00,6,3
Indonesia,North Maluku,,,2014,127,0,19,7.3,7.41,84.79,"505,356",24.00,27.00,33.00,"1,139,000","1,139","31,983",36,55.75,"1,811",183.00,3.32,2
Indonesia,West Papua,,,2014,149,0,18,27.13,26.26,225.46,"969,674",23.90,27.50,32.50,"850,000",850,"102,955",9,61.85,"2,825",231.00,20.85,3
Indonesia,Papua,,,2014,394,3,35,30.05,27.8,864.11,"3,181,890",23.40,28.10,33.30,"3,091,000","3,091","319,036",10,21.66,"2,731",202.00,29.57,3
Indonesia,Aceh,,,2015,339,270,49,17.08,17.11,859.41,"5,122,956",19.80,27.10,36.70,"5,002,000","5,002","57,956",87,54.68,"1,575",146.00,0.08,1
Indonesia,North Sumatra,,,2015,571,3761,53,10.53,10.79,1508.14,"8,199,518",18.60,27.40,36.80,"13,938,000","13,938","72,981",191,67.89,976,105.00,0.49,1
Indonesia,West Sumatra,,,2015,264,1192,40,7.31,6.71,349.53,"3,361,681",19.80,26.50,32.90,"5,196,000","5,196","42,012",124,45.02,"3,548",185.00,0.14,1
Indonesia,Riau,,,2015,212,1426,253,8.42,8.82,562.92,"3,121,599",20.60,27.20,35.20,"6,344,000","6,344","87,023",73,51.3,"2,048",140.00,0.1,1
Indonesia,Riau Islands,,,2015,176,552,52,8.86,9.12,311.56,"1,692,157",21.00,27.00,35.20,"3,402,000","3,402","5,016",679,58.21,"1,695",135.00,0.47,1
Indonesia,Jambi,,,2015,322,584,175,14.25,13.77,1112.53,"3,967,814",22.10,27.70,37.20,"8,052,000","8,052","91,592",88,61.3,"1,947",138.00,0.31,1
Indonesia,South Sumatra,,,2015,180,254,24,17.88,17.16,322.83,"1,106,547",18.80,27.00,35.20,"1,875,000","1,875","19,919",95,39.22,"2,669",166.00,2.03,2
Indonesia,Bangka Belitung Islands,,,2015,291,629,111,14.35,13.53,1100.68,"4,700,674",20.20,27.10,37.20,"8,117,000","8,117","35,376",230,44.83,"1,628",151.00,0.49,1
Indonesia,Bengkulu,,,2015,62,397,61,5.4,4.83,66.62,"718,931",20.60,27.30,34.40,"1,373,000","1,373","16,424",84,80.8,"1,535",163.00,1.08,2
Indonesia,Lampung,,,2015,72,852,212,6.24,5.78,114.83,"1,229,310",21.60,27.00,33.60,"1,973,000","1,973","8,202",241,71.97,"2,251",174.00,0.35,1
Indonesia,Jakarta,,,2015,340,8093,130,3.93,3.61,368.67,"11,758,185",22.70,28.40,35.20,"10,178,000","10,178",664,15329,89.28,"2,170",121.00,0,0
Indonesia,Banten,,,2015,1050,4870,657,9.53,9.57,4485.65,"25,985,830",15.00,23.50,34.00,"46,710,000","46,710","35,378",1321,59.43,"2,199",177.00,0,0
Indonesia,West Java,,,2015,875,5042,963,13.58,13.32,4505.78,"20,992,423",20.60,28.50,39.50,"33,774,000","33,774","32,801",1030,67.2,"1,621",140.00,0.06,1
Indonesia,Central Java,,,2015,121,1249,91,14.91,13.16,485.56,"2,503,611",18.00,26.10,35.50,"3,679,000","3,679","3,133",1175,86.31,"2,046",119.00,0.03,1
Indonesia,Yogyakarta Special Region,,,2015,960,13623,647,12.34,12.28,4775.97,"21,735,039",20.50,28.00,35.60,"38,848,000","38,848","47,803",813,63.48,"2,025",133.00,0,0
Indonesia,East Java,,,2015,233,1450,134,5.9,5.75,690.67,"6,615,733",19.00,27.30,35.40,"11,955,000","11,955","9,663",1238,67.04,"1,310",155.00,0,0
Indonesia,Bali,,,2015,120,5921,957,4.74,5.25,218.79,"2,072,653",20.00,27.30,34.00,"4,153,000","4,153","5,780",719,85.46,"1,134",124.00,0,0
Indonesia,West Nusa Tenggara,,,2015,158,616,89,17.1,16.54,802.29,"3,022,232",17.00,26.10,36.60,"4,836,000","4,836","18,572",261,63.72,"1,148",91.00,0.42,1
